"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05161","hsa05161","Hepatitis B","2/36","154/7273",0.176555873874051,0.491834220077714,0.448027123552574,"2353/596",2
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","2/36","165/7273",0.196260052644644,0.532939721562292,0.48547140628144,"596/81567",2
"hsa04530","hsa04530","Tight junction","2/36","167/7273",0.199875366601836,0.532939721562292,0.48547140628144,"4633/84612",2
"hsa00600","hsa00600","Sphingolipid metabolism","1/36","46/7273",0.204645788916748,0.532939721562292,0.48547140628144,"7357",1
"hsa05010","hsa05010","Alzheimer disease","2/36","171/7273",0.207131765814023,0.532939721562292,0.48547140628144,"1345/341947",2
"hsa00565","hsa00565","Ether lipid metabolism","1/36","47/7273",0.208607702795121,0.532939721562292,0.48547140628144,"5321",1
"hsa05030","hsa05030","Cocaine addiction","1/36","49/7273",0.216474050838786,0.532939721562292,0.48547140628144,"2354",1
"hsa05014","hsa05014","Amyotrophic lateral sclerosis (ALS)","1/36","50/7273",0.220378665203377,0.532939721562292,0.48547140628144,"596",1
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/36","55/7273",0.239619707542046,0.532939721562292,0.48547140628144,"107",1
"hsa05016","hsa05016","Huntington disease","2/36","192/7273",0.245649153460397,0.532939721562292,0.48547140628144,"1345/341947",2
"hsa04370","hsa04370","VEGF signaling pathway","1/36","59/7273",0.25467938371462,0.532939721562292,0.48547140628144,"5321",1
"hsa04510","hsa04510","Focal adhesion","2/36","198/7273",0.256737142437905,0.532939721562292,0.48547140628144,"4633/596",2
"hsa04730","hsa04730","Long-term depression","1/36","60/7273",0.258398754685825,0.532939721562292,0.48547140628144,"5321",1
"hsa05205","hsa05205","Proteoglycans in cancer","2/36","200/7273",0.260437305956224,0.532939721562292,0.48547140628144,"6608/5727",2
"hsa00590","hsa00590","Arachidonic acid metabolism","1/36","61/7273",0.262100077967581,0.532939721562292,0.48547140628144,"5321",1
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","1/36","62/7273",0.265783438643284,0.532939721562292,0.48547140628144,"107",1
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","2/36","203/7273",0.265990125222473,0.532939721562292,0.48547140628144,"2353/596",2
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","1/36","64/7273",0.27309661056498,0.532939721562292,0.48547140628144,"1548",1
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/36","65/7273",0.276726590037814,0.532939721562292,0.48547140628144,"107",1
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/36","67/7273",0.283933753690414,0.532939721562292,0.48547140628144,"1548",1
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","1/36","67/7273",0.283933753690414,0.532939721562292,0.48547140628144,"5321",1
"hsa04720","hsa04720","Long-term potentiation","1/36","67/7273",0.283933753690414,0.532939721562292,0.48547140628144,"107",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","2/36","214/7273",0.286357966437598,0.532939721562292,0.48547140628144,"107/2353",2
"hsa04920","hsa04920","Adipocytokine signaling pathway","1/36","68/7273",0.287511103796874,0.532939721562292,0.48547140628144,"5465",1
"hsa04917","hsa04917","Prolactin signaling pathway","1/36","70/7273",0.294613752540952,0.532939721562292,0.48547140628144,"2353",1
"hsa04976","hsa04976","Bile secretion","1/36","71/7273",0.298139214835624,0.532939721562292,0.48547140628144,"107",1
"hsa04115","hsa04115","p53 signaling pathway","1/36","72/7273",0.301647544225504,0.532939721562292,0.48547140628144,"596",1
"hsa05140","hsa05140","Leishmaniasis","1/36","72/7273",0.301647544225504,0.532939721562292,0.48547140628144,"2353",1
"hsa01524","hsa01524","Platinum drug resistance","1/36","73/7273",0.305138821604741,0.532939721562292,0.48547140628144,"596",1
"hsa04918","hsa04918","Thyroid hormone synthesis","1/36","73/7273",0.305138821604741,0.532939721562292,0.48547140628144,"107",1
"hsa03320","hsa03320","PPAR signaling pathway","1/36","75/7273",0.3120705420557,0.532939721562292,0.48547140628144,"5465",1
"hsa04971","hsa04971","Gastric acid secretion","1/36","75/7273",0.3120705420557,0.532939721562292,0.48547140628144,"107",1
"hsa05133","hsa05133","Pertussis","1/36","75/7273",0.3120705420557,0.532939721562292,0.48547140628144,"2353",1
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/36","79/7273",0.325732877219645,0.532939721562292,0.48547140628144,"596",1
"hsa04662","hsa04662","B cell receptor signaling pathway","1/36","79/7273",0.325732877219645,0.532939721562292,0.48547140628144,"2353",1
"hsa05132","hsa05132","Salmonella infection","1/36","79/7273",0.325732877219645,0.532939721562292,0.48547140628144,"2353",1
"hsa04144","hsa04144","Endocytosis","2/36","243/7273",0.339766360497537,0.532939721562292,0.48547140628144,"84612/3482",2
"hsa04727","hsa04727","GABAergic synapse","1/36","85/7273",0.345733037615208,0.532939721562292,0.48547140628144,"107",1
"hsa04911","hsa04911","Insulin secretion","1/36","86/7273",0.34900983375403,0.532939721562292,0.48547140628144,"107",1
"hsa04540","hsa04540","Gap junction","1/36","87/7273",0.35227067221025,0.532939721562292,0.48547140628144,"107",1
"hsa04970","hsa04970","Salivary secretion","1/36","88/7273",0.355515628486403,0.532939721562292,0.48547140628144,"107",1
"hsa05032","hsa05032","Morphine addiction","1/36","88/7273",0.355515628486403,0.532939721562292,0.48547140628144,"107",1
"hsa04211","hsa04211","Longevity regulating pathway","1/36","89/7273",0.358744777738246,0.532939721562292,0.48547140628144,"107",1
"hsa05150","hsa05150","Staphylococcus aureus infection","1/36","89/7273",0.358744777738246,0.532939721562292,0.48547140628144,"3881",1
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/36","89/7273",0.358744777738246,0.532939721562292,0.48547140628144,"2353",1
"hsa05323","hsa05323","Rheumatoid arthritis","1/36","89/7273",0.358744777738246,0.532939721562292,0.48547140628144,"2353",1
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","1/36","90/7273",0.361958194776306,0.532939721562292,0.48547140628144,"2353",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","1/36","90/7273",0.361958194776306,0.532939721562292,0.48547140628144,"4633",1
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","1/36","92/7273",0.368338129736252,0.532939721562292,0.48547140628144,"5321",1
"hsa05222","hsa05222","Small cell lung cancer","1/36","92/7273",0.368338129736252,0.532939721562292,0.48547140628144,"596",1
"hsa04350","hsa04350","TGF-beta signaling pathway","1/36","94/7273",0.374656025004115,0.532939721562292,0.48547140628144,"658",1
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","1/36","95/7273",0.377791891155369,0.532939721562292,0.48547140628144,"107",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","1/36","96/7273",0.380912466791815,0.532939721562292,0.48547140628144,"5321",1
"hsa04620","hsa04620","Toll-like receptor signaling pathway","1/36","96/7273",0.380912466791815,0.532939721562292,0.48547140628144,"2353",1
"hsa05215","hsa05215","Prostate cancer","1/36","96/7273",0.380912466791815,0.532939721562292,0.48547140628144,"596",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/36","97/7273",0.384017824350055,0.532939721562292,0.48547140628144,"107",1
"hsa04064","hsa04064","NF-kappa B signaling pathway","1/36","100/7273",0.39324330793382,0.532939721562292,0.48547140628144,"596",1
"hsa04916","hsa04916","Melanogenesis","1/36","100/7273",0.39324330793382,0.532939721562292,0.48547140628144,"107",1
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/36","100/7273",0.39324330793382,0.532939721562292,0.48547140628144,"596",1
"hsa05146","hsa05146","Amoebiasis","1/36","100/7273",0.39324330793382,0.532939721562292,0.48547140628144,"107",1
"hsa04660","hsa04660","T cell receptor signaling pathway","1/36","101/7273",0.396288510905294,0.532939721562292,0.48547140628144,"2353",1
"hsa04922","hsa04922","Glucagon signaling pathway","1/36","103/7273",0.402334404721607,0.536445872962143,0.48866526889264,"5465",1
"hsa04659","hsa04659","Th17 cell differentiation","1/36","105/7273",0.408321417149663,0.537405778357477,0.489539676641426,"2353",1
"hsa04931","hsa04931","Insulin resistance","1/36","107/7273",0.414250105410342,0.537405778357477,0.489539676641426,"5465",1
"hsa04670","hsa04670","Leukocyte transendothelial migration","1/36","108/7273",0.417192750708308,0.537405778357477,0.489539676641426,"4633",1
"hsa04066","hsa04066","HIF-1 signaling pathway","1/36","109/7273",0.420121021604959,0.537405778357477,0.489539676641426,"596",1
"hsa05145","hsa05145","Toxoplasmosis","1/36","110/7273",0.423034986320512,0.537405778357477,0.489539676641426,"596",1
"hsa04726","hsa04726","Serotonergic synapse","1/36","111/7273",0.425934712760894,0.537405778357477,0.489539676641426,"5321",1
"hsa04010","hsa04010","MAPK signaling pathway","2/36","292/7273",0.427168695617481,0.537405778357477,0.489539676641426,"5321/2353",2
"hsa04071","hsa04071","Sphingolipid signaling pathway","1/36","118/7273",0.445839764881537,0.554478758508875,0.505091986495939,"596",1
"hsa04722","hsa04722","Neurotrophin signaling pathway","1/36","119/7273",0.448627992479617,0.554478758508875,0.505091986495939,"596",1
"hsa05135","hsa05135","Yersinia infection","1/36","120/7273",0.451402579042482,0.554478758508875,0.505091986495939,"2353",1
"hsa04114","hsa04114","Oocyte meiosis","1/36","123/7273",0.459645139417807,0.555849936040139,0.506341034854378,"107",1
"hsa04142","hsa04142","Lysosome","1/36","123/7273",0.459645139417807,0.555849936040139,0.506341034854378,"3482",1
"hsa00230","hsa00230","Purine metabolism","1/36","128/7273",0.473115912497869,0.565396360849497,0.51503717081432,"107",1
"hsa04068","hsa04068","FoxO signaling pathway","1/36","129/7273",0.475770611889062,0.565396360849497,0.51503717081432,"10365",1
"hsa04728","hsa04728","Dopaminergic synapse","1/36","130/7273",0.47841230533419,0.565396360849497,0.51503717081432,"2353",1
"hsa04140","hsa04140","Autophagy - animal","1/36","135/7273",0.491427840131432,0.576411601958672,0.525071297330775,"596",1
"hsa05224","hsa05224","Breast cancer","1/36","144/7273",0.514064542138406,0.588152358458238,0.535766318433618,"2353",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/36","145/7273",0.516518417363966,0.588152358458238,0.535766318433618,"107",1
"hsa05160","hsa05160","Hepatitis C","1/36","145/7273",0.516518417363966,0.588152358458238,0.535766318433618,"5465",1
"hsa05226","hsa05226","Gastric cancer","1/36","145/7273",0.516518417363966,0.588152358458238,0.535766318433618,"596",1
"hsa04934","hsa04934","Cushing syndrome","1/36","154/7273",0.538067929246419,0.608250702626387,0.554074526683956,"107",1
"hsa05206","hsa05206","MicroRNAs in cancer","1/36","162/7273",0.556436891624041,0.624490324412593,0.568867704424427,"596",1
"hsa04022","hsa04022","cGMP-PKG signaling pathway","1/36","166/7273",0.565353071194623,0.627932908381288,0.57200366148093,"107",1
"hsa05152","hsa05152","Tuberculosis","1/36","167/7273",0.567554744113856,0.627932908381288,0.57200366148093,"596",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","1/36","170/7273",0.574094905284504,0.630695811439315,0.574520476007473,"596",1
"hsa05034","hsa05034","Alcoholism","1/36","172/7273",0.578401480667708,0.630983433455682,0.574782479868536,"2354",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/36","177/7273",0.588983528212701,0.638065488897093,0.581233744946745,"2353",1
"hsa04740","hsa04740","Olfactory transduction","1/36","187/7273",0.609378527412391,0.646491175576601,0.588908965606216,"26212",1
"hsa04020","hsa04020","Calcium signaling pathway","1/36","189/7273",0.613337781957288,0.646491175576601,0.588908965606216,"107",1
"hsa04062","hsa04062","Chemokine signaling pathway","1/36","189/7273",0.613337781957288,0.646491175576601,0.588908965606216,"107",1
"hsa05169","hsa05169","Epstein-Barr virus infection","1/36","189/7273",0.613337781957288,0.646491175576601,0.588908965606216,"596",1
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","1/36","198/7273",0.630676840962934,0.660305954296763,0.601493278205553,"2353",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","1/36","209/7273",0.650844418611559,0.676878195356021,0.61658944921095,"4633",1
"hsa05163","hsa05163","Human cytomegalovirus infection","1/36","217/7273",0.664834998371377,0.686849402290959,0.625672532451278,"107",1
"hsa04014","hsa04014","Ras signaling pathway","1/36","229/7273",0.684804297239209,0.702825462956031,0.64022562415023,"5321",1
"hsa05165","hsa05165","Human papillomavirus infection","1/36","319/7273",0.801834484136972,0.814321090908888,0.741790467427125,"84612",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/36","321/7273",0.803881076922877,0.814321090908888,0.741790467427125,"7200",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","1/36","340/7273",0.822326361074149,0.827631692435918,0.753915509303974,"596",1
"hsa05168","hsa05168","Herpes simplex virus 1 infection","1/36","472/7273",0.911220830830492,0.911220830830492,0.830059461282837,"596",1
